Localidad,Lon,Lat
BurundaP1,-75.6871167,7.111267
BurundaP2,-75.6831667,7.11375
BurundaP3,-75.6838167,7.118283
BurundaP4,-75.6856667,7.122383
BurundaP5,-75.6820667,7.125167
HumagaP1,-75.6107333,7.183183
HumagaP2,-75.6119333,7.18225
HumagaP3,-75.61225,7.1808
HumagaP4,-75.615,7.1802
HumagaP5,-75.6184167,7.1822
JagueP1,-75.79981802,6.92538598
JagueP2,-75.80335502,6.92125303
JagueP3,-75.8023833,6.917233
JagueP4,-75.8045333,6.91295
JagueP5,-75.8047667,6.90855
LiborinaP1,-75.8348167,6.680617
LiborinaP2,-75.8349833,6.685333
LiborinaP3,-75.8369833,6.6937
LiborinaP4,-75.8393167,6.698317
LiborinaP5,-75.8422333,6.7032
OrobajoP1,-75.79055,7.02792
OrobajoP2,-75.79443,7.02623
OrobajoP3,-75.79299,7.02213
OrobajoP4,-75.79034,7.01807
OrobajoP5,-75.78889,7.01344
SanJuanP1,-75.6964667,7.155967
SanJuanP2,-75.69335,7.159217
SanJuanP3,-75.6891667,7.157533
SanJuanP4,-75.6863667,7.154083
SanJuanP5,-75.68525,7.14975
SantaFeP1,-75.82153,6.60791
SantaFeP2,-75.81992,6.61263
SantaFeP3,-75.81937,6.616847
SantaFeP4,-75.82363,6.61503
SantaFeP5,-75.82743,6.61308
PescaderoP1,-75.6863167,7.06615
PescaderoP2,-75.6881333,7.07125
PescaderoP3,-75.69135,7.073067
PescaderoP4,-75.6922667,7.077383
PescaderoP5,-75.6943667,7.08155
TicuitaP1,-75.64366,7.13485
TicuitaP2,-75.64697,7.13191
TicuitaP3,-75.64293,7.132
TicuitaP4,-75.64287,7.12817
TicuitaP5,-75.63979,7.12998
