altitud1	viento1	cobnubes1	cobveget1	forest_type
2314	2314	2553	2395	mature
2302	2349	2292	2395	mature
2302	2285	2292	2189	mature
2395	2395	2285	2285	mature
2395	2349	2285	2189	mature
2189	2395	2322	2285	mature
2285	2265	2553	2395	mature
2189	2265	2252	2254	mature
2285	2265	2252	2252	mature
2395	2265	2252	2252	mature
2254	2553	2553	2395	mature
2161	2292	2553	2395	mature
2285	2265	2332	2189	mature
2285	2265	2322	2285	mature
2421	2322	2332	2189	mature
2285	2553	2285	2285	mature
2285	2553	2314	2395	mature
2285	2395	2314	2254	mature
2285	2395	2292	2292	mature
2395	2314	2553	2395	mature
2421	2349	2332	2395	mature
2302	2285	2332	2189	mature
2302	2395	2222	2285	mature
2424	2349	2285	2189	mature
2395	2395	2351	2285	secondary
2395	2265	2373	2395	secondary
2516	2265	2285	2254	secondary
2302	2265	2342	2342	secondary
2349	2265	2285	2285	secondary
2404	2553	2395	2395	secondary
2646	2292	2285	2395	secondary
2285	2265	2395	2189	secondary
2285	2265	2285	2285	secondary
2395	2322	2395	2189	secondary
2350	2553	2359	2285	secondary
2256	2553	2285	2395	secondary
2302	2395	2285	2254	secondary
2302	2395	2351	2351	secondary
2292	2553	2322	2322	secondary
2285	2285	2421	2421	secondary
2489	2322	2292	2292	secondary
2489	2285	2285	2395	secondary
2489	2332	2292	2395	secondary
2489	2003	2349	2189	secondary
2301	2285	2349	2285	secondary
