YB1	YB2	YB3	YB4	YB5
1	1	1	1	1
0	0	1	0	1
1	0	1	0	0
0	0	0	0	0
1	0	1	1	1
0	0	0	0	0
0	0	0	0	0
0	1	0	1	0
0	0	0	1	0
0	0	0	0	0
1	0	1	1	0
1	1	1	1	1
1	1	1	1	1
1	1	1	0	1
1	1	1	1	1
1	0	1	1	1
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0
0	0	0	0	0
0	0	1	0	0
1	0	1	0	0
0	0	1	1	1
1	1	1	1	1
1	1	1	0	0
1	1	1	0	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	1
0	0	0	0	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	1
0	0	0	0	0
0	0	0	0	0
