Localidad	Lon	Lat
BurundaP1	-75.68712	7.11127
BurundaP2	-75.68317	7.11375
BurundaP3	-75.68382	7.11828
BurundaP4	-75.68567	7.12238
BurundaP5	-75.68207	7.12517
HumagaP1	-75.61073	7.18318
HumagaP2	-75.61193	7.18225
HumagaP3	-75.61225	7.18080
HumagaP4	-75.61500	7.18020
HumagaP5	-75.61842	7.18220
JagueP1	-75.79982	6.92539
JagueP2	-75.80336	6.92125
JagueP3	-75.80238	6.91723
JagueP4	-75.80453	6.91295
JagueP5	-75.80477	6.90855
LiborinaP1	-75.83482	6.68062
LiborinaP2	-75.83498	6.68533
LiborinaP3	-75.83698	6.69370
LiborinaP4	-75.83932	6.69832
LiborinaP5	-75.84223	6.70320
OrobajoP1	-75.79055	7.02792
OrobajoP2	-75.79443	7.02623
OrobajoP3	-75.79299	7.02213
OrobajoP4	-75.79034	7.01807
OrobajoP5	-75.78889	7.01344
PescaderoP1	-75.68632	7.06615
PescaderoP2	-75.68813	7.07125
PescaderoP3	-75.69135	7.07307
PescaderoP4	-75.69227	7.07738
PescaderoP5	-75.69437	7.08155
SanJuanP1	-75.69647	7.15597
SanJuanP2	-75.69335	7.15922
SanJuanP3	-75.68917	7.15753
SanJuanP4	-75.68637	7.15408
SanJuanP5	-75.68525	7.14975
SantaFeP1	-75.82153	6.60791
SantaFeP2	-75.81992	6.61263
SantaFeP3	-75.81937	6.61685
SantaFeP4	-75.82363	6.61503
SantaFeP5	-75.82743	6.61308
TicuitaP1	-75.64366	7.13485
TicuitaP2	-75.64697	7.13191
TicuitaP3	-75.64293	7.13200
TicuitaP4	-75.64287	7.12817
TicuitaP5	-75.63979	7.12998
ValdiviaP1	-75.46086	7.23972
ValdiviaP2	-75.46412	7.23701
ValdiviaP3	-75.46762	7.23536
ValdiviaP4	-75.47364	7.23138
ValdiviaP5	-75.47723	7.22836
