Localidad	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
BurundaP1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	0
BurundaP2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BurundaP3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BurundaP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BurundaP5	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0
HumagaP1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HumagaP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HumagaP3	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
HumagaP4	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HumagaP5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
JagueP1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0
JagueP2	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
JagueP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JagueP4	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JagueP5	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
LiborinaP1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0
LiborinaP2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
LiborinaP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LiborinaP4	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
LiborinaP5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
OrobajoP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OrobajoP2	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OrobajoP3	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0
OrobajoP4	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
OrobajoP5	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	1	1	1
PescaderoP1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0
PescaderoP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PescaderoP3	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1
PescaderoP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PescaderoP5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
SanJuanP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SanJuanP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SanJuanP3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SanJuanP4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SanJuanP5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SantaFeP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SantaFeP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SantaFeP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SantaFeP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SantaFeP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TicuitaP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TicuitaP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TicuitaP3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TicuitaP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TicuitaP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ValdiviaP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ValdiviaP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ValdiviaP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ValdiviaP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ValdiviaP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
