FID,CAM_ID,lat,lon,ele,time,CreationTi,g13b65me,g13b64me,g13b54me,aspect1,aspect2,aspect3,slope1,slope2,slope3
0,CAM40,26.812501000000001,-103.769531000000000,1131.787720000000000,2018-10-17T18:20:22Z,2018-10-17T18:20:22Z,-9999,-9999,1140,-9999.0000000,-1.0000000,-9999.0000000,-9999.0000000,0.0000000,-9999.0000000
1,CAM39,26.804490999999999,-103.775487000000000,1129.958251999999900,2018-10-17T17:32:48Z,2018-10-17T17:32:48Z,-9999,-9999,1140,-9999.0000000,-1.0000000,-9999.0000000,-9999.0000000,0.0000000,-9999.0000000
2,CAM38,26.795939030000000,-103.779596000000000,1133.016967999999900,2018-10-17T16:51:49Z,2018-10-17T16:51:49Z,-9999,-9999,1138,-9999.0000000,12.2216997,-9999.0000000,-9999.0000000,0.7303410,-9999.0000000
3,CAM37,26.788069010000001,-103.785679000000000,1130.853638000000000,2018-10-17T16:03:47Z,2018-10-17T16:03:47Z,-9999,-9999,1138,-9999.0000000,11.7851000,-9999.0000000,-9999.0000000,1.1457601,-9999.0000000
4,CAM36,26.779809990000000,-103.791799999999990,1120.451904000000000,2018-10-17T15:05:31Z,2018-10-17T15:05:31Z,-9999,-9999,1128,-9999.0000000,343.8169861,-9999.0000000,-9999.0000000,0.2025700,-9999.0000000
5,CAM10,26.760404040000001,-103.684214000000000,1125.651978000000100,2018-09-08T19:43:00Z,2018-09-08T19:43:00Z,-9999,-9999,1120,-9999.0000000,-1.0000000,-9999.0000000,-9999.0000000,0.0000000,-9999.0000000
6,CAM31,26.759615969999999,-103.785962000000000,1126.713013000000000,2018-10-16T15:08:39Z,2018-10-16T15:08:39Z,-9999,-9999,1130,-9999.0000000,45.0000000,-9999.0000000,-9999.0000000,0.0000000,-9999.0000000
7,CAM5,26.745311999999998,-103.706190000000010,1122.976685000000100,2018-09-08T15:42:20Z,2018-09-08T15:42:20Z,-9999,1130,1111,-9999.0000000,190.8739929,-1.0000000,-9999.0000000,0.5729390,0.0000000
8,CAM9,26.751349990000001,-103.684563000000000,1127.261230000000100,2018-09-08T19:08:47Z,2018-09-08T19:08:47Z,-9999,1130,1116,-9999.0000000,180.0000000,-1.0000000,-9999.0000000,0.5729390,0.0000000
9,CAM32,26.752999970000001,-103.792990000000000,1119.076904000000000,2018-10-16T15:41:02Z,2018-10-16T15:41:02Z,-9999,1120,1122,-9999.0000000,184.1499939,-1.0000000,-9999.0000000,0.4529530,0.0000000
