	Localidad	NDVI	Altura	Cobertura	Cobertura.prom.250	Cobertura.sd.250	Altura.prom.250	Altura.sd.250	NDVI.prom.250	NDVI.sd.250
1	BurundaP1	0.76646819	1.268099953	0.749928029	1.019784409	-1.397119484	1.258269016	0.288826818	1.129521488	-1.169571372
2	BurundaP2	-0.4077959	1.2751966	-2.252339207	0.288967773	-0.193644439	1.22896191	-0.296334904	-0.369089517	2.17120944
3	BurundaP3	0.721142598	1.08713544	0.622171976	1.057418402	-1.179141925	1.066427095	0.436356639	1.024719483	-1.054239856
4	BurundaP4	0.945333944	0.774882947	0.845745068	1.424070475	-1.506759111	0.83702695	-0.445210592	1.058062014	-0.87873678
5	BurundaP5	-0.283884819	1.016168964	-1.485802892	-0.996088041	0.675409798	1.036222833	0.419026154	0.171128429	0.043091131
6	HumagaP1	-1.132782074	-0.261227597	0.781867042	1.381965916	-1.201728989	-0.177249019	2.660974495	-0.069267603	0.048101562
7	HumagaP2	1.245152735	-0.548641823	0.845745068	0.899432654	0.02705142	-0.47101274	0.48365042	0.568914228	0.061380549
8	HumagaP3	0.859820179	-0.619608298	-2.252339207	0.580701099	0.163334247	-0.681681941	-0.564156449	0.641364974	0.074023552
9	HumagaP4	0.882648606	-0.701219745	-2.252339207	0.33885898	0.24794396	-0.549182358	0.215786081	0.259540057	2.440117902
10	HumagaP5	0.069500618	-0.158326207	-0.240181379	1.023692484	-0.122581384	-0.111688643	0.129774909	0.597465072	0.670842486
11	JagueP1	0.251094577	1.151005268	0.366659871	0.576304556	0.064962926	1.153750308	-0.484295803	-0.248972173	-0.407229117
12	JagueP2	0.699445369	0.785527918	-0.495693484	0.152317959	-0.428696722	0.884557412	-0.137361738	0.524148345	-0.621866963
13	JagueP3	0.465693239	0.494565368	0.909623095	0.902325573	-0.27835138	0.577489918	-0.203972698	0.161678136	-0.526966938
14	JagueP4	-1.942276369	0.37392236	0.941562108	1.295857353	-1.131749367	0.32148832	-0.259830463	0.291351753	-0.199261804
15	JagueP5	0.777288587	0.565531844	-0.240181379	0.082261643	0.686844742	0.652865231	-0.038052363	0.508039644	-0.457965571
16	LiborinaP1	-0.459472309	-0.619608298	0.175025792	-1.432215668	0.647847519	-0.638224234	-0.974292507	-1.455273534	0.407339741
17	LiborinaP2	-2.421355155	-0.676381479	-2.252339207	-1.375909739	0.341287025	-0.685719144	-1.067223376	-1.835155095	0.459687713
18	LiborinaP3	-1.984658639	-0.640898241	0.334720858	-1.212352837	0.4402332	-0.620077209	0.177083092	-2.822950964	0.278737359
19	LiborinaP4	-1.887504094	-0.669284831	0.686050002	-1.747188249	0.625684259	-0.601033027	0.190388597	-2.945679368	0.790512555
20	LiborinaP5	-1.990933798	-0.704768069	0.590232963	-1.915128269	0.834100273	-0.626415813	-0.070213313	-2.905863367	0.49382085
21	OrobajoP1	-0.594503966	-1.141211894	-0.719266576	-0.783589118	0.094868745	-1.159567193	-1.41383102	-0.278170151	0.335226898
22	OrobajoP2	-0.315069628	-1.116373628	-0.687327563	-1.724735762	0.63956848	-1.167057088	-1.582942885	-0.62726887	1.0901681
23	OrobajoP3	0.126645707	-1.048955476	0.941562108	0.310202012	-0.116778022	-1.027834744	-1.100770833	0.222511115	-0.716822047
24	OrobajoP4	-0.059985883	-0.775734545	0.590232963	-0.013516482	0.391413232	-0.664642472	-0.071701793	-0.143843586	0.224724367
25	OrobajoP5	0.038526017	-0.584125061	-0.0485473	-0.109517634	0.395567162	-0.519147126	-0.165566265	0.607080857	-0.306743234
26	PescaderoP1	0.905909717	-0.424450491	0.845745068	1.239033352	-1.768012089	-0.504194521	-0.366725866	0.845337167	-0.737025338
27	PescaderoP2	1.18195619	-0.488320319	0.941562108	0.57670448	-0.472743361	-0.61319901	0.723344022	-0.104598213	-0.433370273
28	PescaderoP3	1.131362311	-0.616059975	-0.719266576	0.67886376	-1.344895287	-0.61245138	0.04916352	0.191857798	-1.152684751
29	PescaderoP4	-0.009521237	-0.289614187	-1.613558944	0.661223017	-1.609642371	-0.323893293	0.369139984	0.676338709	-0.651026547
30	PescaderoP5	1.09077826	-0.427998814	0.909623095	0.971396592	-1.662022597	-0.34640376	0.55995356	0.636652136	-1.118380181
31	SanJuanP1	0.618019618	2.325500439	0.781867042	-1.773038625	0.348130218	2.361377051	0.264888777	-0.943907477	0.053594936
32	SanJuanP2	-1.777352641	2.087762746	-1.389985852	-0.268431378	-0.838516042	2.035185004	-0.843548037	-0.6229751	-0.84749683
33	SanJuanP3	-0.326928795	2.059376155	-0.272120392	-0.293930273	-0.143470228	2.015703896	-0.382038593	-0.519681429	-0.14637248
34	SanJuanP4	-0.104626868	2.027441241	0.143086779	-0.223187525	0.189040306	2.004104947	-0.204509676	-0.621009162	-0.357443407
35	SanJuanP5	0.842889028	1.98840968	0.366659871	-0.000445482	-0.144993266	2.007734352	-0.453713266	0.029526322	-0.708514251
36	SantaFeP1	-0.868131002	-0.289614187	-0.847022629	-0.744255979	0.921751474	-0.336874872	-1.628357829	-1.161654806	2.758020067
37	SantaFeP2	-1.204629456	-0.438643786	-0.591510524	-0.08672515	0.599235923	-0.488154454	-1.617799822	0.204535825	1.03856818
38	SantaFeP3	-0.550851041	-0.456385405	0.654110989	-0.318211998	0.475591452	-0.524203825	-1.864926546	1.110273544	-0.425791762
39	SantaFeP4	-1.146246838	-0.392515577	-1.198351773	-1.955303108	-0.252121112	-0.441094528	-1.588755413	0.487825762	-0.501019593
40	SantaFeP5	-0.318445225	-0.20800274	-0.719266576	-0.777236773	0.565773067	-0.246411613	-1.293259901	0.006868434	-0.027179457
