Localidad;NDVI;Nubes;Altura;Cobertura;Precipitacion;Cuarto seco;Cuarto humedo;Mes humedo;Mes seco;Estacionalidad;Cobertura prom 250;Cobertura sd 250;H index 250;Altura prom 250;Altura sd 250;NDVI prom 250;NDVI sd 250
BurundaP1;0.550503016;7172;982;94;2445;874;199;315;40;48;87.40304183;11.17543612;30;981.7916667;52.67783889;0.551790429;0.026632101
BurundaP2;0.464931399;7197;984;0;2445;884;189;307;40;49;73.58712121;23.24199001;21;973.625;40.27925618;0.444967029;0.138473066
BurundaP3;0.547200024;7070;931;90;2405;862;189;306;38;49;88.11450382;13.36097206;20;928.3333333;55.80374513;0.544319973;0.030493111
BurundaP4;0.563537419;7070;843;97;2405;862;189;306;38;49;95.04597701;10.07614248;14;864.4090909;37.12483329;0.546696682;0.036368514
BurundaP5;0.473961115;7043;911;24;2461;882;195;314;39;48;49.29343629;31.9554983;15;919.9166667;55.4365416;0.483474632;0.067229001
HumagaP1;0.412099808;6732;551;95;2877;1052;220;356;55;49;94.25;13.13450453;16;581.7727273;102.9396179;0.466338816;0.067396738
HumagaP2;0.585385978;6732;470;97;2877;1052;220;356;55;49;85.12781955;25.45478078;18;499.9130435;56.80582;0.511829443;0.067841285
HumagaP3;0.557305813;6732;450;0;2877;1052;220;356;55;49;79.10227273;26.82121051;17;441.2083333;34.60457266;0.516993848;0.068264541
HumagaP4;0.558969378;6732;427;0;2877;1052;220;356;55;49;74.53030303;27.66954356;32;478.1304348;51.13022976;0.489776755;0.147475447
HumagaP5;0.499713212;6753;580;63;2887;1034;241;355;52;47;87.47692308;23.9544985;17;600.0416667;49.30779916;0.513864593;0.088244542
JagueP1;0.512946427;8595;949;82;1947;677;182;264;37;44;79.01915709;25.8348977;29;952.6666667;36.29668408;0.453529186;0.052153408
JagueP2;0.545618892;8447;846;55;1739;616;142;231;27;48;71.00378788;20.88525561;28;877.6538462;43.64762748;0.508638458;0.044967871
JagueP3;0.528584778;8447;764;99;1739;616;142;231;27;48;85.18250951;22.39268211;24;792.0869565;42.2362544;0.482801;0.048144886
JagueP4;0.353109896;8521;730;100;1737;618;140;231;27;48;92.6221374;13.83615005;13;720.75;41.05272326;0.492044343;0.059115632
JagueP5;0.551291525;8521;784;63;1737;618;140;231;27;48;69.67938931;32.07014992;16;813.0909091;45.75182441;0.507490204;0.050454879
LiborinaP1;0.461165607;7928;450;76;1498;541;121;209;25;48;41.04854369;31.67914714;7;453.3181818;25.91448641;0.367542087;0.079423131
LiborinaP2;0.318198204;7980;434;0;1688;607;140;227;31;46;42.11299435;28.60544093;7;440.0833333;23.94543919;0.340463519;0.08117561
LiborinaP3;0.350021392;7959;444;81;1700;612;141;228;32;46;45.205;29.59751747;9;458.375;50.31017919;0.270051843;0.075117846
LiborinaP4;0.357101291;7959;436;92;1700;612;141;228;32;46;35.09405941;31.45692885;6;463.6818182;50.59210023;0.261303565;0.092250796
LiborinaP5;0.349564105;7885;426;89;1695;610;140;228;31;46;31.91919192;33.54659666;4;456.6086957;45.07038852;0.264141714;0.082318302
OrobajoP1;0.451325506;7336;303;48;2441;903;183;310;46;48;53.31067961;26.13474619;41;308.0416667;16.60141211;0.451447907;0.077008974
OrobajoP2;0.471688598;7325;310;49;2392;887;176;305;44;49;35.51851852;31.59613797;7;305.9545455;13.018219;0.42656359;0.102282513
OrobajoP3;0.503877521;7376;329;100;2456;906;186;311;48;48;73.98854962;24.01268548;26;344.75;23.23462559;0.487137272;0.041789013
OrobajoP4;0.490277201;7399;406;89;2165;813;149;283;34;51;67.86872587;29.10802765;13;445.9565217;45.03885016;0.461022921;0.073309626
OrobajoP5;0.497456014;7437;460;69;2165;813;150;283;34;51;66.05384615;29.14967672;27;486.5;43.05002146;0.514550021;0.055517423
PescaderoP1;0.560664475;8000;505;97;2290;862;158;296;35;52;91.54789272;7.456708735;44;490.6666667;38.7877913;0.531533314;0.041112657
PescaderoP2;0.580780685;7873;487;100;2427;913;170;311;40;51;79.02671756;20.44362522;28;460.2916667;61.8845202;0.463820394;0.051278268
PescaderoP3;0.57709378;7873;451;48;2427;913;170;311;40;51;80.95801527;11.69905818;46;460.5;47.59978078;0.484952254;0.027197423
PescaderoP4;0.493954688;7599;543;20;2376;896;164;306;38;52;80.62452107;9.044591045;68;540.9090909;54.37953842;0.519486832;0.043991681
PescaderoP5;0.574136317;7599;504;99;2376;896;164;306;38;52;86.48828125;8.519404574;68;534.6363636;58.42255391;0.516657909;0.028345853
SanJuanP1;0.53968519;6827;1280;95;3188;1099;312;408;72;42;34.60536398;28.6740537;13;1289.181818;52.17063246;0.403993081;0.067580642
SanJuanP2;0.365128309;6805;1213;27;2630;939;217;341;44;47;63.04961832;16.77623238;43;1198.285714;28.6847396;0.426869657;0.037414349
SanJuanP3;0.470824391;6804;1205;62;2828;999;248;365;53;45;62.56756757;23.74505804;23;1192.857143;38.46334062;0.434232595;0.060886234
SanJuanP4;0.487024099;6804;1196;75;2828;999;248;365;53;45;63.90494297;27.07895042;21;1189.625;42.22487676;0.427009792;0.053820109
SanJuanP5;0.556071997;6893;1185;82;2812;993;248;363;53;45;68.11583012;23.72978741;22;1190.636364;36.94467608;0.473381006;0.042067137
SantaFeP1;0.431385607;7325;543;44;1307;472;105;189;20;48;54.05426357;34.42542497;24;537.2916667;12.05595349;0.388471702;0.158118015
SantaFeP2;0.406864107;7385;501;52;1370;494;111;195;22;48;66.48473282;31.19174656;15;495.1363636;12.27965974;0.485855965;0.100555077
SantaFeP3;0.454506606;7518;496;91;1398;505;113;198;22;48;62.10852713;29.95203437;18;485.0909091;7.043464319;0.550418404;0.051531977
SantaFeP4;0.411118597;7385;514;33;1370;494;111;195;22;48;31.15969582;22.65567795;14;508.25;12.89506141;0.506049326;0.049013538
SantaFeP5;0.47144261;7336;566;48;1328;475;109;191;21;48;53.43076923;30.85623369;16;562.5;19.15610925;0.471765915;0.064876518
TicuitaP1;0.464413702;6989;406;100;2923;1062;235;359;61;47;79.43846154;38.39401575;93;427.9166667;64.78722141;0.506719719;0.084400307
TicuitaP2;0.500724375;7170;518;97;2598;943;201;324;45;49;74.54789272;41.27919253;20;522.3913043;58.32724229;0.41544562;0.184662093
TicuitaP3;0.537665427;7170;643;100;2598;943;201;324;45;49;97.16917293;3.956073534;91;624.5;88.1406978;0.54369591;0.030114082
TicuitaP4;0.54862529;7170;851;97;2598;943;201;324;45;49;95.42748092;5.909315374;0;848.7916667;68.55145904;0.525775589;0.05112672
TicuitaP5;0.537460804;7277;862;89;2675;966;218;331;48;48;88.42748092;26.66236475;87;845.1304348;56.19794913;0.520456489;0.036126507
ValdiviaP1;0.575175405;7195;278;95;3953;1356;391;458;106;41;62.62445415;40.95834978;14;259.6666667;78.89490349;0.536923559;0.069690216
ValdiviaP2;0.572450399;7195;254;78;3953;1356;391;458;106;41;54.7991453;39.53439095;13;268.4583333;85.51937445;0.518340073;0.056928442
ValdiviaP3;0.549740374;7436;274;100;3419;1211;291;413;77;45;72.6023166;39.49153764;8;295.16;78.52424254;0.517923888;0.051054772
ValdiviaP4;0.517029881;7113;370;97;3726;1294;349;439;94;42;53.51737452;42.22827738;11;368.7391304;72.05504045;0.533530205;0.039844227
ValdiviaP5;0.592625022;7205;386;48;3414;1210;292;412;77;45;45.97358491;37.76486337;11;372.9583333;72.04254731;0.501727094;0.054135795
