CAM_ID;detection_history.o1;detection_history.o2;detection_history.o3;detection_history.o4;detection_history.o5;detection_history.o6;detection_history.o7;detection_history.o8;detection_history.o9;detection_history.o10;detection_history.o11;detection_history.o12;detection_history.o13;detection_history.o14;detection_history.o15;detection_history.o16;detection_history.o17;detection_history.o18;detection_history.o19;detection_history.o20;detection_history.o21;detection_history.o22;detection_history.o23;detection_history.o24;detection_history.o25;detection_history.o26;detection_history.o27;detection_history.o28;detection_history.o29;detection_history.o30;detection_history.o31;detection_history.o32;detection_history.o33;detection_history.o34;detection_history.o35
CAM1;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM10;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM11;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM12;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM13;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM14;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM15;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM16;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM17;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM18;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM19;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM2;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM20;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM21;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM22;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM23;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM24;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM25;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM26;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM27;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM28;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM29;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM3;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM30;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM4;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM5;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM6;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM7;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM8;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
CAM9;20;19;19;19;20;18;18;19;20;20;20;21;19;18;19;19;21;23;22;20;16;18;21;19;18;19;18;19;17;19;19;20;21;16;16
