Localidad	P	Lon	Lat
Burunda	P1	-75.68712	7.11127
Burunda	P2	-75.68317	7.11375
Burunda	P3	-75.68382	7.11828
Burunda	P4	-75.68567	7.12238
Burunda	P5	-75.68207	7.12517
Humaga	P1	-75.61073	7.18318
Humaga	P2	-75.61193	7.18225
Humaga	P3	-75.61225	7.18080
Humaga	P4	-75.61500	7.18020
Humaga	P5	-75.61842	7.18220
Jague	P1	-75.79982	6.92539
Jague	P2	-75.80336	6.92125
Jague	P3	-75.80238	6.91723
Jague	P4	-75.80453	6.91295
Jague	P5	-75.80477	6.90855
Liborina	P1	-75.83482	6.68062
Liborina	P2	-75.83498	6.68533
Liborina	P3	-75.83698	6.69370
Liborina	P4	-75.83932	6.69832
Liborina	P5	-75.84223	6.70320
Orobajo	P1	-75.79055	7.02792
Orobajo	P2	-75.79443	7.02623
Orobajo	P3	-75.79299	7.02213
Orobajo	P4	-75.79034	7.01807
Orobajo	P5	-75.78889	7.01344
Pescadero	P1	-75.68632	7.06615
Pescadero	P2	-75.68813	7.07125
Pescadero	P3	-75.69135	7.07307
Pescadero	P4	-75.69227	7.07738
Pescadero	P5	-75.69437	7.08155
SanJuan	P1	-75.69647	7.15597
SanJuan	P2	-75.69335	7.15922
SanJuan	P3	-75.68917	7.15753
SanJuan	P4	-75.68637	7.15408
SanJuan	P5	-75.68525	7.14975
SantaFe	P1	-75.82153	6.60791
SantaFe	P2	-75.81992	6.61263
SantaFe	P3	-75.81937	6.61685
SantaFe	P4	-75.82363	6.61503
SantaFe	P5	-75.82743	6.61308
Ticuita	P1	-75.64366	7.13485
Ticuita	P2	-75.64697	7.13191
Ticuita	P3	-75.64293	7.13200
Ticuita	P4	-75.64287	7.12817
Ticuita	P5	-75.63979	7.12998
Valdivia	P1	-75.46086	7.23972
Valdivia	P2	-75.46412	7.23701
Valdivia	P3	-75.46762	7.23536
Valdivia	P4	-75.47364	7.23138
Valdivia	P5	-75.47723	7.22836
