Localidad	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20
BurundaP1	86.05193548	81.47748387	100	97.51203226	99.55064516	77.17948387	100	100	99.82874194	92.96970968	75.67187097	43.32816129	92.19232258	65.83374194	93.52983871	87.83403226	48.69645161	48.84554839	98.10445161	51.89909677
BurundaP2	82.86751613	81.87422581	95.82677419	87.71367742	91.6003871	75.9473871	94.94677419	93.51435484	91.89609677	91.58577419	71.18867742	64.18483871	92.79429032	88.02974194	94.27922581	92.34067742	92.34435484	78.54577419	94.13058065	83.33777419
BurundaP3	87.88948387	95.00867742	100	100	99.7936129	99.87216129	100	100	100	100	90.68796774	82.90367742	94.14990323	91.36383871	93.30570968	91.55251613	84.73174194	79.78451613	96.80219355	92.14348387
BurundaP4	67.42477419	98.10606452	100	100	100	99.63477419	100	100	100	100	76.17322581	58.78087097	95.30574194	77.88187097	97.09103226	86.73858065	86.53251613	76.91545161	74.54935484	64.55022581
BurundaP5	72.92874194	71.87941935	100	83.10925806	100	67.27674194	100	83.90374194	100	73.77764516	74.09087097	62.83174194	86.93709677	74.18093548	94.16864516	87.42893548	82.3823871	91.44312903	92.35435484	65.94787097
HumagaP1	75.23835484	89.24709677	89.09106452	98.28990323	93.39870968	100	100	99.98693548	99.65832258	100	89.63854839	54.45787097	87.92632258	45.48563415	88.80019355	59.85822581	88.72006452	43.87180645	89.33319355	51.35264516
HumagaP2	77.25054839	77.51254839	95.23722581	99.99332258	100	100	100	100	100	100	96.41048387	69.04425806	91.03822581	57.02377419	92.9076129	63.04922581	94.47093548	58.50312903	95.99793548	58.93825806
HumagaP3	100	64.93548387	87.26558065	98.25893548	95.70664516	100	100	100	99.99316129	100	95.32316129	81.99480645	90.48693548	63.14548387	87.84419355	82.3236129	91.31883871	47.72303226	94.19893548	78.31109677
HumagaP4	92.51245161	90.39158065	88.05493548	99.23577419	90.98387097	100	95.38822581	100	99.93706452	97.45909677	95.64490323	86.74406452	90.81490323	75.97690323	91.64103226	80.42141935	92.06132258	93.48148387	92.3036129	60.99735484
HumagaP5	88.05483871	98.15251613	78.6746129	97.46316129	86.09641935	100	90.99525806	100	93.9653871	86.78480645	91.24667742	72.66174194	73.72151613	51.60516129	88.30174194	66.26670968	90.86032258	60.3623871	88.4113871	49.9203871
JagueP1	87.43412903	100	100	100	100	100	100	100	100	100	74.20412903	94.78254839	99.24377419	99.45919355	100	100	100	100	100	100
JagueP2	98.29829032	100	100	100	100	100	100	100	100	100	85.06829032	86.80990323	99.08541935	98.77109677	99.64541935	99.54729032	99.94980645	99.8858	99.99974194	99.65348387
JagueP3	98.87758065	100	100	100	100	100	100	100	100	100	85.64758065	88.51648387	96.68574194	94.26587097	99.50758065	99.12012903	99.8283871	99.68525806	99.94435484	99.24067742
JagueP4	91.41114286	100	100	100	100	100	100	100	100	100	78.18114286	87.40357143	99.30257143	90.18728571	99.861	98.00728571	99.87914286	98.42757143	99.42685714	95.03271429
JagueP5	91.41114286	100	100	100	100	100	100	100	100	100	78.18114286	87.40357143	99.30257143	90.18728571	99.861	98.00728571	99.87914286	98.42757143	99.42685714	95.03271429
LiborinaP1	88.08280645	98.17748387	100	87.09835484	86.235	89.75970968	89.11774194	74.6893871	100	99.84183871	59.59458065	73.63864516	58.43922581	69.86103226	54.12374194	74.03177419	59.86012903	66.53396774	55.90767742	60.67890323
LiborinaP2	84.63703226	87.83164516	99.73696774	88.49235484	86.93622581	91.03564516	81.15587097	75.63067742	98.73616129	98.41296774	62.02951613	66.82377419	55.95164516	70.15764516	58.82606452	77.67309677	65.08664516	66.35335484	58.55467742	62.02951613
LiborinaP3	77.59412903	86.16441935	100	99.92390323	87.68058065	92.90680645	83.20348387	80.9553871	100	100	56.28174194	71.77870968	58.6866129	68.33167742	65.49916129	72.85167742	60.22422581	65.37025806	55.04032258	65.49951613
LiborinaP4	84.93174194	95.45496774	100	95.33248387	85.37019355	94.81306452	85.56245161	80.6026129	100	100	59.97331579	64.86614286	48.21685714	70.94628571	54.26214286	78.67128571	68.48985714	70.51057143	36.87142857	63.41514286
LiborinaP5	75.11345161	97.03716129	97.60103226	85.06206452	83.43748387	99.61267742	87.08587097	74.126	100	100	65.85383871	68.77235484	44.94674194	70.17864516	49.46151613	81.69045161	66.19280645	67.373	36.08522581	64.0786129
OrobajoP1	97.60477419	39.57396774	84.10793548	40.37858065	94.96719355	76.275	90.7493871	44.05016129	92.8046129	57.45803226	66.90293548	74.50935484	34.57093548	77.71554839	47.54425806	73.69754839	42.43383871	74.77209677	57.97058065	44.333
OrobajoP2	83.39716129	54.75290323	77.84632258	60.33316129	100	91.01170968	88.20741935	62.33551613	86.74422581	65.64177419	78.02758065	73.1436129	36.50445161	82.09064516	58.9983871	73.34177419	50.91529032	75.84635484	61.47758065	55.0503871
OrobajoP3	94.16464516	74.61487097	83.66322581	86.84516129	99.99729032	99.90441935	93.28893548	84.04303226	95.67722581	88.61674194	70.01122581	75.16541935	71.23467742	77.37619355	70.70229032	70.71987097	67.67909677	75.01306452	52.85677419	72.27374194
OrobajoP4	94.60045161	71.7523871	84.09029032	66.87541935	100	98.83345161	94.85329032	78.53158065	97.73003226	71.23629032	64.90906452	75.49945161	67.31016129	80.7713871	53.99390323	76.12658065	71.27119355	76.72203226	76.2736129	77.98264516
OrobajoP5	86.15629032	51.21241935	82.21190323	71.46851613	99.99903226	91.46641935	93.79825806	62.92	99.8153871	65.33222581	38.17958065	67.5503871	48.67770968	80.20667742	42.33519355	76.20703226	63.96119355	77.00893548	71.28570968	78.74580645
PescaderoP1	89.94741935	82.09087097	100	74.99560976	100	85.27741935	97.0503871	69.73680645	100	80.2283871	65.48622581	45.91780645	82.30896774	78.82970968	52.65609677	44.57632258	88.14435484	43.48922581	52.19564516	46.20667742
PescaderoP2	87.28141935	88.145	100	94.67448387	100	99.98835484	99.06774194	85.44006452	99.61470968	89.85696774	74.97009677	56.53354839	83.91758065	72.44967742	86.91864516	51.94877419	87.94322581	52.70009677	88.87248387	65.29670968
PescaderoP3	84.28545161	96.0003871	88.18541935	80.75025806	100	93.43135484	89.75222581	82.16490323	98.95803226	89.61541935	69.48829032	83.15225806	83.09683871	79.52932258	90.49348387	88.85606452	44.93516129	40.69535484	90.48093548	58.21758065
PescaderoP4	87.54525806	84.43993548	100	84.152	100	90.32509677	92.40080645	69.13703226	100	85.44941935	72.9406129	55.27558065	86.46680645	77.92367742	91.17054839	70.70096774	91.98912903	39.03548387	89.9606129	87.87229032
PescaderoP5	87.04745161	88.96609677	100	91.63022581	100	95.23006452	99.75506452	83.97341935	99.93803226	72.29058065	81.02645161	58.11470968	82.46954839	74.32454839	77.74841935	69.02616129	83.51367742	42.23003226	80.63535484	79.47525806
SanjuanP1	100	97.61716129	100	100	100	100	100	100	100	100	100	84.38716129	94.1606129	100	100	90.7623871	98.61825806	100	100	99.37812903
SanjuanP2	100	100	100	100	100	99.10906452	100	100	100	100	98.87058065	89.51406452	93.62580645	99.10264516	98.93722581	85.87906452	91.38325806	94.08735484	93.09380645	97.88732258
SanjuanP3	100	98.61083871	100	100	100	100	100	100	100	100	100	85.38083871	96.46712903	100	99.10893548	92.14146154	87.83196774	100	100	100
SanjuanP4	100	99.25485714	100	100	100	100	97.744	100	100	100	99.253	86.02485714	91.75142857	100	95.57471429	91.76485714	84.514	97.98928571	95.093	97.96214286
SanjuanP5	100	81.30790323	100	100	100	99.06235484	100	100	100	100	100	68.07790323	86.88029032	100	87.61645161	85.83235484	91.64451613	100	100	100
SantafeP1	80.85222581	66.45593548	93.35612903	77.42280645	92.15990323	72.8126129	84.89280645	75.025	83.96183871	73.74206452	83.87248387	60.196	76.52154839	72.87029032	80.16203226	61.7753871	82.30825806	70.20003226	89.08332258	80.59793548
SantafeP2	82.01954839	59.10319355	96.00677419	70.99022581	93.22035484	66.54948387	87.99222581	76.64170968	85.71358065	76.69658065	78.99590323	67.586	85.06419355	77.91929032	90.28751613	55.29077419	89.22819355	67.37235484	95.3416129	77.35058065
SantafeP3	83.53541935	78.04083871	92.39306452	73.98609677	88.52251613	82.59954839	84.85832258	65.6016129	84.8746129	77.65680645	83.877	70.91222581	82.27674194	78.21941935	80.17467742	69.18185366	82.33845161	79.42551613	89.95258065	82.95119355
SantafeP4	92.65096774	73.35993548	93.91025806	67.78209677	92.94029032	75.39251613	88.26506452	87.49774194	84.69022581	83.31577419	79.58314286	80.58471429	79.71742857	62.40371429	77.68542857	51.064	76.49571429	66.27385714	91.30971429	74.01371429
SantafeP5	81.13422581	65.26041935	77.12570968	55.97948387	89.67512903	62.79167742	84.40590323	74.73309677	82.26145161	78.31664516	81.68758065	58.429	78.07045161	64.23625806	85.68096774	55.69816129	86.99835484	70.86912903	92.46451613	76.73212903
TicuitaP1	93.50312903	86.77390323	100	100	100	96.82419355	100	99.92393548	99.16529032	90.21009677	76.82645161	89.1456129	97.83922581	82.27519355	99.35593548	98.35393548	99.046	93.35222581	99.62770968	96.25390323
TicuitaP2	80.04112903	87.24351613	100	100	100	100	100	100	100	96.81035484	75.25751613	94.87680645	96.77841935	92.72935484	98.48190323	97.68132258	97.81422581	97.75806452	99.06648387	97.73764516
TicuitaP3	72.9396129	88.49087097	100	100	98.014	95.15825806	100	100	95.15583871	94.8056129	91.9483871	97.71245161	97.74532258	95.47073171	100	100	99.56209677	100	100	100
