Localidad	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20
BurundaP1	23.39806452	24.99503226	21.45116129	23.37445161	20.28854839	25.48954839	18.63467742	21.42806452	20.78112903	22.94887097	23.79093548	32.77848387	20.01745161	28.43132258	21.25103226	22.15245161	29.28754839	29.46690323	18.99464516	31.08409677
BurundaP2	23.45558065	25.8256129	21.54593548	23.89083871	21.42722581	25.54525806	19.27609677	21.48364516	22.02764516	23.02064516	25.03887097	27.89564516	21.64367742	24.06503226	21.589	21.59058065	20.1033871	24.28964516	20.82570968	25.05264516
BurundaP3	24.98041935	23.81606452	20.12658065	21.88354839	21.03716129	22.58874194	19.24309677	20.13577419	20.35919355	21.57441935	20.21716129	22.13306452	20.29477419	22.021	21.31177419	21.46719355	22.49722581	23.47235484	19.55396774	22.02383871
BurundaP4	25.85016129	23.44064516	21.57583871	22.7593871	20.93254839	22.98425806	19.66051613	21.68222581	20.63045161	22.57641935	23.0993871	27.65551613	20.71264516	25.27735484	20.40758065	20.79803226	20.59506452	23.07293548	23.63025806	26.10074194
BurundaP5	25.75122581	27.7683871	20.40687097	26.52864516	19.58983871	29.08874194	18.32487097	26.66906452	19.68590323	28.44441935	24.01893548	26.24516129	21.372	26.26841935	20.94712903	20.97635484	21.66329032	19.46874194	20.00132258	25.75225806
HumagaP1	26.319	25.13116129	25.93967742	24.12009677	25.01858065	23.90396774	24.23903226	21.51441935	23.56319355	21.61406452	22.99509677	32.19112903	21.84558065	32.05368293	22.96722581	29.53096774	21.19096774	32.43464516	22.724	32.92767742
HumagaP2	25.30651613	25.85335484	24.60812903	23.38554839	24.07183871	23.27612903	23.57174194	21.80016129	24.48732258	21.65919355	22.78106452	28.84680645	21.31954839	28.20229032	22.87996774	28.59287097	20.55422581	28.59232258	21.77854839	30.56274194
HumagaP3	21.78777419	27.75158065	25.99322581	23.13909677	24.367	23.0516129	23.869	21.49267742	22.99822581	23.22048387	23.17316129	26.19454839	21.61667742	27.04074194	23.48729032	24.99732258	22.21374194	31.67516129	21.94364516	25.79803226
HumagaP4	25.82348387	24.10383871	27.27693548	23.304	26.16132258	23.26529032	26.32812903	21.51829032	24.69564516	25.54816129	23.03690323	25.18358065	21.8313871	24.37925806	23.04387097	25.68370968	20.99251613	21.19803226	22.13619355	29.90470968
HumagaP5	28.01348387	24.69303226	28.76325806	23.49441935	27.70525806	22.92929032	27.54490323	21.07187097	27.68803226	27.64458065	23.81548387	28.66835484	23.22977419	29.8306129	23.52203226	27.84751613	21.40290323	28.00316129	23.19406452	32.89264516
JagueP1	24.34451613	21.52635484	18.13551613	20.25674194	18.11245161	19.44790323	18.84316129	21.26822581	18.59903226	20.18512903	25.72451613	22.90635484	19.51551613	21.63674194	19.49245161	20.82790323	20.22316129	22.64822581	19.97903226	21.56512903
JagueP2	23.40464516	23.25377419	19.7056129	20.04887097	19.20441935	19.85570968	19.70470968	20.21166667	19.93109677	20.62503226	24.78464516	24.63377419	21.0856129	21.42887097	20.58441935	21.23570968	21.08470968	21.59166667	21.31109677	22.00503226
JagueP3	23.04129032	23.42387097	19.78864516	21.09451613	19.61874194	20.1003871	20.30222581	20.43096774	20.4663871	20.69370968	24.42129032	24.80387097	21.16864516	22.47451613	20.99874194	21.4803871	21.68222581	21.81096774	21.8463871	22.07370968
JagueP4	23.54971429	24.60828571	19.57657143	23.519	19.48842857	21.29385714	20.30271429	21.53671429	20.07757143	22.38814286	24.92971429	25.98828571	20.95657143	24.899	20.86842857	22.67385714	21.68271429	22.91671429	21.45757143	23.76814286
JagueP5	23.54971429	24.60828571	19.57657143	23.519	19.48842857	21.29385714	20.30271429	21.53671429	20.07757143	22.38814286	24.92971429	25.98828571	20.95657143	24.899	20.86842857	22.67385714	21.68271429	22.91671429	21.45757143	23.76814286
