	Localidad	NDVI	Altura	Cobertura	Cobertura prom 250	Cobertura sd 250	Altura prom 250	Altura sd 250	NDVI prom 250	NDVI sd 250
1	BurundaP1	0.550503016	982	94	87.40304183	11.17543612	981.7916667	52.67783889	0.551790429	0.026632101
2	BurundaP2	0.464931399	984	0	73.58712121	23.24199001	973.625	40.27925618	0.444967029	0.138473066
3	BurundaP3	0.547200024	931	90	88.11450382	13.36097206	928.3333333	55.80374513	0.544319973	0.030493111
4	BurundaP4	0.563537419	843	97	95.04597701	10.07614248	864.4090909	37.12483329	0.546696682	0.036368514
5	BurundaP5	0.473961115	911	24	49.29343629	31.9554983	919.9166667	55.4365416	0.483474632	0.067229001
6	HumagaP1	0.412099808	551	95	94.25	13.13450453	581.7727273	102.9396179	0.466338816	0.067396738
7	HumagaP2	0.585385978	470	97	85.12781955	25.45478078	499.9130435	56.80582	0.511829443	0.067841285
8	HumagaP3	0.557305813	450	0	79.10227273	26.82121051	441.2083333	34.60457266	0.516993848	0.068264541
9	HumagaP4	0.558969378	427	0	74.53030303	27.66954356	478.1304348	51.13022976	0.489776755	0.147475447
10	HumagaP5	0.499713212	580	63	87.47692308	23.9544985	600.0416667	49.30779916	0.513864593	0.088244542
11	JagueP1	0.512946427	949	82	79.01915709	25.8348977	952.6666667	36.29668408	0.453529186	0.052153408
12	JagueP2	0.545618892	846	55	71.00378788	20.88525561	877.6538462	43.64762748	0.508638458	0.044967871
13	JagueP3	0.528584778	764	99	85.18250951	22.39268211	792.0869565	42.2362544	0.482801	0.048144886
14	JagueP4	0.353109896	730	100	92.6221374	13.83615005	720.75	41.05272326	0.492044343	0.059115632
15	JagueP5	0.551291525	784	63	69.67938931	32.07014992	813.0909091	45.75182441	0.507490204	0.050454879
16	LiborinaP1	0.461165607	450	76	41.04854369	31.67914714	453.3181818	25.91448641	0.367542087	0.079423131
17	LiborinaP2	0.318198204	434	0	42.11299435	28.60544093	440.0833333	23.94543919	0.340463519	0.08117561
18	LiborinaP3	0.350021392	444	81	45.205	29.59751747	458.375	50.31017919	0.270051843	0.075117846
19	LiborinaP4	0.357101291	436	92	35.09405941	31.45692885	463.6818182	50.59210023	0.261303565	0.092250796
20	LiborinaP5	0.349564105	426	89	31.91919192	33.54659666	456.6086957	45.07038852	0.264141714	0.082318302
21	OrobajoP1	0.451325506	303	48	53.31067961	26.13474619	308.0416667	16.60141211	0.451447907	0.077008974
