CAM_ID;detection_history.o1;detection_history.o2;detection_history.o3;detection_history.o4;detection_history.o5;detection_history.o6;detection_history.o7;detection_history.o8;detection_history.o9;detection_history.o10;detection_history.o11
CAM1;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM11;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM12;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM13;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM14;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM15;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM17;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM19;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM2;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM20;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM21;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM23;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM26;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM27;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM28;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM29;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM3;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM4;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM5;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM6;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM7;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
CAM8;5.333333333;4.6;0;0;1.333333333;0;11.5;12.5;0;0;0
