Easting,Northing
2139311.729,2384543.968
2142682.087,2384875.836
2980579.702,2815892.876
2973740.826,2798959.848
2973796.909,2797810.737
2973740.826,2798959.848
2979913.316,2815420.478
2980579.702,2815892.876
2980152.067,2815576.578
2979578.578,2815623.702
2980208.082,2815647.283
2979460.054,2815708.749
2979266.726,2815799.941
2980369.982,2815784.596
2980777.129,2815851.55
2980909.997,2815941.043
2991578.436,2831508.417
2974890.785,2768247.484
2981339.704,2803484.299
2974949.999,2845802.906
2974555.049,2845885.475
2955153.352,2814808.294
2954982.425,2820180.264
2955419.481,2820553.506
2956089.664,2821181.591
2954229.428,2808610.115
2954333.463,2808607.713
2952224.496,2810293.834
2952850.947,2810722.769
2955063.131,2808826.068
2956243.469,2812953.431
2934915.242,2459837.464
2936342.119,2441106.06
2943948.103,2517917.718
2933145.399,2472461.795
2952227.779,2547460.113
2871110.576,2897948.91
2944966.053,2898541.556
2979827.147,2640044.649
2977635.205,2640227.275
2981147.304,2640235.63
2978457.175,2640459.769
2980757.065,2640368.473
2978191.476,2640883.205
2979046.652,2641514.24
2980258.871,2641613.902
2978473.747,2641862.945
2979984.867,2641937.71
2981188.794,2641937.736
2978299.378,2642178.447
2980001.468,2642136.98
2982309.696,2642145.331
2978415.612,2642369.416
2980217.34,2642319.65
2982525.572,2642328.002
2982326.298,2642344.605
2981529.207,2642411.013
2982334.599,2642444.241
2982052.291,2642668.418
2976779.928,2643207.94
2980175.806,2643025.399
2978407.271,2643473.696
2981105.73,2643349.242
2978814.109,2643540.134
2981720.15,2643498.714
2978232.898,2643789.198
2979835.361,2643756.048
2978639.736,2643855.638
2978755.969,2644046.609
2983364.149,2643963.731
2979470.015,2644187.788
2979386.977,2644395.358
2982484.011,2644237.71
2978589.894,2644461.748
2982691.586,2644320.747
2982492.311,2644337.347
2983007.1,2644495.122
2983308.504,2644500.112
2982218.299,2644661.16
2982824.425,2644710.998
2983430.553,2644760.835
2977742.966,2645134.242
2983148.239,2644985.012
2982251.497,2645059.71
2978963.485,2645333.573
2983380.715,2645366.966
2980690.497,2645591.045
2980291.95,2645624.24
2981794.806,2645599.395
2981495.893,2645624.292
2981196.981,2645649.189
2980599.159,2645698.981
2980499.522,2645707.28
2983397.314,2645566.243
2982816.083,2645815.317
2982118.616,2645873.411
2984119.685,2645807.06
2979835.258,2646163.915
2983754.328,2646238.815
2981172.031,2646554.225
2979984.682,2646753.438
2985581.039,2646487.978
2981313.16,2647044.115
2984808.819,2646853.296
2977427.325,2647367.706
2977933.801,2647425.86
2983530.103,2647160.465
2979237.371,2647417.638
2982732.991,2647226.855
2985630.839,2647085.82
2979253.965,2647616.912
2984758.975,2647459.436
2984360.415,2647492.632
2979469.832,2647799.592
2980972.692,2647774.772
2985489.654,2647799.903
2983505.151,2648065.519
2981313.094,2648248.071
2983712.729,2648148.562
2984019.946,2648223.306
2984335.463,2648397.691
2982641.588,2648538.758
2984841.964,2648455.839
2984144.481,2648513.928
2984958.201,2648646.821
2978597.905,2649377.112
2981005.806,2649377.282
2981412.658,2649443.735
2980657.03,2650008.299
2979884.809,2650373.581
2980573.89,2651419.836
2979785.074,2651585.835
2980789.759,2651602.524
2981794.911,2641987.565
2909151.379,2587845.93
2887443.942,2493415.538
2943752.505,2518121.785
2984949.956,2647343.197
2953291.71,2555605.06
2846004.99,2669532.173
2846004.99,2669532.173
2888450.476,2490874.588
2888450.476,2490874.588
2982226.661,2642352.906
2909228.884,2490458.185
2911039.616,2498118.59
2887284.944,2500118.39
2936342.119,2441106.06
2937341.345,2441085.386
2928306.729,2439272.935
2929326.682,2440251.539
2929822.183,2440041.346
2936342.119,2441106.06
2936837.598,2440895.877
2889862.854,2489565.038
2982699.887,2644420.385
2980225.507,2646031.085
2906848.03,2512704.288
2984327.165,2648298.051
2990460.9,2723349.604
2896292.249,2514727.076
2904029.757,2468970.954
2901171.14,2470930.368
2879210.873,2482288.947
2889785.605,2488266.775
2957000.024,2613508.43
2897100.689,2500911.634
2897302.68,2501007.368
2945746.053,2527275.911
2945937.392,2526872.001
2906205.498,2576409.992
2898979.54,2518869.774
2899079.483,2518867.66
2898800.804,2496176.46
2893765.51,2518180.145
2895266.807,2518248.385
2894769.194,2518358.899
2904814.226,2520546.053
2976838.187,2636682.023
2944330.222,2535902.776
2944729.893,2535894.261
2946672.903,2528555.701
2909182.024,2466105.905
2924708.201,2448944.777
2897144.971,2460065.861
2901304.499,2472527.342
2901712.62,2472918.75
2892216.305,2477816.812
2892662.344,2478107.444
2957000.024,2613508.43
2889310.673,2490125.585
2897302.68,2501007.368
2982275.863,2653786.419
2983902.318,2787330.937
2929856.246,2472450.543
2900236.91,2485527.779
2900107.615,2486990.281
2908079.536,2547172.842
2911144.855,2503115.37
2907231.675,2507197.135
2928987.623,2438359.114
2949285.314,2555429.32
2910182.582,2509634.401
2900028.5,2485602.141
2931646.352,2489187.615
2901680.674,2485717.464
2924019.064,2449458.941
